statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
18502;11225;WEITENSFELD;Kärnten;141127;465058;704;712;20070701;ZAMG;TAWES;Ja;14,19083333;46,84944444
18601;11228;FRIESACH;Kärnten;142421;465732;640;641;20070701;ZAMG;TAWES;Ja;14,40583333;46,95888889
18622;11237;ST.VEIT/GLAN;Kärnten;142308;464421;463;461;20070803;ZAMG;TAWES;Ja;14,38555556;46,73916667
18705;11229;ST.ANDRAE/LAVANTTAL;Kärnten;144942;464551;403;404;19930311;ZAMG;TAWES;Ja;14,82833333;46,76416667
18805;11214;PREITENEGG;Kärnten;145454;465617;1034;1036;19930601;ZAMG;TAWES;Ja;14,915;46,93805556
18906;11285;DEUTSCHLANDSBERG;Steiermark;151337;464918;354;355;20010417;ZAMG;TAWES;Nein;15,22666667;46,82138889
19021;11296;WAGNA-LEIBNITZ;Steiermark;153310;464603;268;266;20031101;ZAMG;TAWES;Ja;15,55277778;46,7675
19204;11244;BAD GLEICHENBERG;Steiermark;155413;465220;269;271;20030408;ZAMG;TAWES;Ja;15,90361111;46,87222222
19205;11298;FELDBACH;Steiermark;155247;465656;323;320;19981101;ZAMG;TAWES;Ja;15,87972222;46,94888889
19505;11201;SILLIAN;Tirol;122525;464447;1087;1084;19960901;ZAMG;TAWES;Nein;12,42361111;46,74638889
19700;11270;DELLACH;Kärnten;130458;464431;628;627;19830501;FREMD;TAWES;Ja;13,08277778;46,74194444
19720;11255;KOETSCHACH-MAUTHEN;Kärnten;125954;464039;714;711;19870203;FREMD;TAWES;Nein;12,99833333;46,6775
19821;11263;WEISSENSEE-GATSCHACH;Kärnten;131710;464307;946;950;19821001;FREMD;TAWES;Nein;13,28611111;46,71861111
19911;11259;HERMAGOR;Kärnten;132932;463635;562;565;20080723;ZAMG;TAWES;Ja;13,49222222;46,60972222
20002;11218;BAD BLEIBERG;Kärnten;134104;463731;909;917;20071001;ZAMG;TAWES;Ja;13,68444444;46,62527778
20011;11226;FRESACH;Kärnten;134107;464255;681;681;20080911;FREMD;TAWES;Nein;13,68527778;46,71527778
20021;11265;VILLACHER ALPE;Kärnten;134017;463611;2156;2160;19940801;ZAMG;TAWES ;Ja;13,67138889;46,60305556
20101;11216;KANZELHOEHE;Kärnten;135404;464037;1520;1530;20020101;ZAMG;TAWES;Ja;13,90111111;46,67694444
20105;11275;ARRIACH;Kärnten;135109;464340;890;892;19900601;ZAMG;TAWES;Ja;13,8525;46,72777778
20123;11213;VILLACH-STADT;Kärnten;135226;463705;493;495;19931201;ZAMG;TAWES;Ja;13,87388889;46,61805556
20202;11235;FERLACH;Kärnten;141851;463152;459;459;20070801;ZAMG;TAWES;Ja;14,31416667;46,53111111
20212;11231;KLAGENFURT-FLUGHAFEN;Kärnten;141906;463854;450;476;19960901;ZAMG;TAWES;Ja;14,31833333;46,64833333
20220;11278;POERTSCHACH;Kärnten;140955;463751;450;453;19821001;FREMD;TAWES;Ja;14,16527778;46,63083333
20270;11227;FELDKIRCHEN;Kärnten;140549;464319;546;546;19950701;ZAMG;TAWES  ;Ja;14,09694444;46,72194444
20408;11224;VOELKERMARKT;Kärnten;143707;463941;473;478;20080723;ZAMG;TAWES;Ja;14,61861111;46,66138889
20412;11232;FEISTRITZ ob BLEIBURG;Kärnten;144600;463332;532;531;20070901;ZAMG;TAWES;Ja;14,76666667;46,55888889
20902;11248;BAD RADKERSBURG;Steiermark;155846;464109;210;216;20010124;ZAMG;TAWES;Ja;15,97944444;46,68583333
21101;11217;LOIBL/TUNNEL;Kärnten;141457;462638;1097;1092;20070801;ZAMG;TAWES;Ja;14,24916667;46,44388889
21300;11234;BAD EISENKAPPEL;Kärnten;143533;462929;619;616;19821118;FREMD;TAWES;Nein;14,5925;46,49138889
